thisN,thisTrialN,thisRepN,T1w_LIBRE.thisRepN,T1w_LIBRE.thisTrialN,T1w_LIBRE.thisN,T1w_LIBRE.thisIndex,thisRow.t,notes,trail.started,waiting_trigger.started,key_resp.started,fix_desc.started,trail.stopped,key_resp.keys,key_resp.rt,key_resp.duration,start_ET.started,etRecord.started,start_ET.stopped,dots.started,dot_1.started,dot_1.stopped,dot_2.started,dot_2.stopped,dot_3.started,dot_3.stopped,dot_4.started,dot_4.stopped,dot_5.started,dot_5.stopped,dot_6.started,dot_6.stopped,dot_7.started,dot_7.stopped,dot_8.started,dot_8.stopped,dot_9.started,dot_9.stopped,dot_10.started,dot_10.stopped,dots.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
28,0,28,28,0,28,0,299.61577779985964,,,,,,,,,,,,,299.6009039003402,299.61577779985964,300.6158544998616,300.6158544998616,301.6155244000256,301.6155244000256,302.6154366005212,302.6154366005212,303.6155987000093,303.6155987000093,304.6155452998355,304.6155452998355,305.615690600127,305.615690600127,306.6156705999747,306.6156705999747,307.6154717002064,307.6154717002064,308.6157250003889,308.6157250003889,309.6154553005472,309.59936810005456,796431,001,2025-04-24_12h38.11.473,fixation_dots_T2weighted,2024.2.1,60.07185807020186,2025-04-24 12h38.19.123734 +0200,
29,0,29,29,0,29,0,309.6154553005472,,,,,,,,,,,,,309.5998503006995,309.6154553005472,310.6154645001516,310.6154645001516,311.6156970001757,311.6156970001757,312.61570850014687,312.61570850014687,313.6161064002663,313.6161064002663,314.61547819990665,314.61547819990665,315.6153955999762,315.6153955999762,316.6154081998393,316.6154081998393,317.6157333999872,317.6157333999872,318.61546180024743,318.61546180024743,319.61547700036317,319.59968730062246,796431,001,2025-04-24_12h38.11.473,fixation_dots_T2weighted,2024.2.1,60.07185807020186,2025-04-24 12h38.19.123734 +0200,
30,0,30,30,0,30,0,319.61547700036317,,,,,,,,,,,,,319.60047540068626,319.61547700036317,320.61596590001136,320.61596590001136,321.6158023001626,321.6158023001626,322.61544510070235,322.61544510070235,323.61555380001664,323.61555380001664,324.61543220002204,324.61543220002204,325.6156505001709,325.6156505001709,326.615602100268,326.615602100268,327.61560090072453,327.61560090072453,328.6157170999795,328.6157170999795,329.6158047001809,329.60020510014147,796431,001,2025-04-24_12h38.11.473,fixation_dots_T2weighted,2024.2.1,60.07185807020186,2025-04-24 12h38.19.123734 +0200,
31,0,31,31,0,31,0,329.6158047001809,,,,,,,,,,,,,329.6005843002349,329.6158047001809,330.61567540001124,330.61567540001124,331.6165043003857,331.6165043003857,332.61550530046225,332.61550530046225,333.6155699007213,333.6155699007213,334.61567130032927,334.61567130032927,335.6156170004979,335.6156170004979,336.61548160016537,336.61548160016537,337.6153990002349,337.6153990002349,338.61588810011744,338.61588810011744,339.6158892000094,339.60006290022284,796431,001,2025-04-24_12h38.11.473,fixation_dots_T2weighted,2024.2.1,60.07185807020186,2025-04-24 12h38.19.123734 +0200,
32,0,32,32,0,32,0,339.6158892000094,,,,,,,,,,,,,339.601456400007,339.6158892000094,340.6154102003202,340.6154102003202,341.61568479985,341.61568479985,342.6155652003363,342.6155652003363,343.61587100010365,343.61587100010365,344.61553710047156,344.61553710047156,345.61554929986596,345.61554929986596,346.6154880998656,346.6154880998656,347.6156330006197,347.6156330006197,348.61536360066384,348.61536360066384,349.6156400004402,349.60015020053834,796431,001,2025-04-24_12h38.11.473,fixation_dots_T2weighted,2024.2.1,60.07185807020186,2025-04-24 12h38.19.123734 +0200,
33,0,33,33,0,33,0,349.6156400004402,,,,,,,,,,,,,349.6013251999393,349.6156400004402,350.6158165000379,350.6158165000379,351.61550150066614,351.61550150066614,352.61546440050006,352.61546440050006,353.6158215999603,353.6158215999603,354.615647200495,354.615647200495,355.6154173007235,355.6154173007235,356.61537209991366,356.61537209991366,357.61646230053157,357.61646230053157,358.6158294007182,358.6158294007182,359.6156142000109,359.60005970019847,796431,001,2025-04-24_12h38.11.473,fixation_dots_T2weighted,2024.2.1,60.07185807020186,2025-04-24 12h38.19.123734 +0200,
34,0,34,34,0,34,0,359.6156142000109,,,,,,,,,,,,,359.6006273003295,359.6156142000109,360.615327199921,360.615327199921,361.61565000005066,361.61565000005066,362.61564990039915,362.61564990039915,363.6156125003472,363.6156125003472,364.61582370009273,364.61582370009273,365.6156752007082,365.6156752007082,366.61581830028445,366.61581830028445,367.6156259002164,367.6156259002164,368.61560640018433,368.61560640018433,369.61582620069385,369.59972700010985,796431,001,2025-04-24_12h38.11.473,fixation_dots_T2weighted,2024.2.1,60.07185807020186,2025-04-24 12h38.19.123734 +0200,
35,0,35,35,0,35,0,369.61582620069385,,,,,,,,,,,,,369.60041770059615,369.61582620069385,370.6156481001526,370.6156481001526,371.6154300002381,371.6154300002381,372.61572190001607,372.61572190001607,373.61561529990286,373.61561529990286,374.615587300621,374.615587300621,375.61597499996424,375.61597499996424,376.61566710006446,376.61566710006446,377.6154914004728,377.6154914004728,378.61573270056397,378.61573270056397,379.61589349992573,379.5996663002297,796431,001,2025-04-24_12h38.11.473,fixation_dots_T2weighted,2024.2.1,60.07185807020186,2025-04-24 12h38.19.123734 +0200,
36,0,36,36,0,36,0,379.61589349992573,,,,,,,,,,,,,379.6002787007019,379.61589349992573,380.61591569986194,380.61591569986194,381.6154964007437,381.6154964007437,382.6154053006321,382.6154053006321,383.61581240035594,383.61581240035594,384.6157482005656,384.6157482005656,385.61564030032605,385.61564030032605,386.6154182003811,386.6154182003811,387.6154499007389,387.6154499007389,388.6155234007165,388.6155234007165,389.615849500522,389.6000798000023,796431,001,2025-04-24_12h38.11.473,fixation_dots_T2weighted,2024.2.1,60.07185807020186,2025-04-24 12h38.19.123734 +0200,
37,0,37,37,0,37,0,389.615849500522,,,,,,,,,,,,,389.60078960005194,389.615849500522,390.6153559004888,390.6153559004888,391.6156012006104,391.6156012006104,392.61544610001147,392.61544610001147,393.61540130060166,393.61540130060166,394.6156067000702,394.6156067000702,395.6153805004433,395.6153805004433,396.6158782001585,396.6158782001585,397.61557270027697,397.61557270027697,398.6154097998515,398.6154097998515,399.61541850026697,399.59933550003916,796431,001,2025-04-24_12h38.11.473,fixation_dots_T2weighted,2024.2.1,60.07185807020186,2025-04-24 12h38.19.123734 +0200,
