49.7333 	EXP 	dot_3: autoDraw = False
49.7333 	EXP 	dot_4: autoDraw = True
49.8511 	DATA 	Keypress: lctrl
49.8512 	DATA 	Keypress: c
50.7333 	EXP 	dot_4: autoDraw = False
50.7333 	EXP 	dot_5: autoDraw = True
51.7339 	EXP 	dot_5: autoDraw = False
51.7339 	EXP 	dot_6: autoDraw = True
52.7338 	EXP 	dot_6: autoDraw = False
52.7338 	EXP 	dot_7: autoDraw = True
53.6009 	DATA 	Keypress: escape
53.6338 	EXP 	fixation_dots_T1weighted: status = STOPPED
53.6500 	EXP 	dot_7: autoDraw = False
53.6501 	EXP 	fixation_dots_T1weighted: status = STOPPED
53.6953 	EXP 	window1: mouseVisible = True
