652.8837 	EXP 	dot_4: autoDraw = True
653.8834 	EXP 	dot_4: autoDraw = False
653.8834 	EXP 	dot_5: autoDraw = True
654.4517 	DATA 	Keypress: s
654.8842 	EXP 	dot_5: autoDraw = False
654.8842 	EXP 	dot_6: autoDraw = True
655.8833 	EXP 	dot_6: autoDraw = False
655.8833 	EXP 	dot_7: autoDraw = True
656.8833 	EXP 	dot_7: autoDraw = False
656.8833 	EXP 	dot_8: autoDraw = True
656.9515 	DATA 	Keypress: s
657.8836 	EXP 	dot_8: autoDraw = False
657.8836 	EXP 	dot_9: autoDraw = True
658.8835 	EXP 	dot_9: autoDraw = False
658.8835 	EXP 	dot_10: autoDraw = True
659.4514 	DATA 	Keypress: s
659.8672 	EXP 	New trial (rep=8, index=0): <Trial 8 (0 in rep 8) data={'thisN': 8, 'thisTrialN': 0, 'thisRepN': 8}>
